Tempo(s),Fila,E[N],E[W]
8940,15,4.209242,52.556732
8950,14,4.220590,52.757369
8960,14,4.231527,52.805688
8970,13,4.241475,52.988900
8980,12,4.250670,53.162972
8990,12,4.259497,53.258526
9000,10,4.267157,53.413649
9010,10,4.272650,53.467468
9020,10,4.279000,53.606357
9030,10,4.285183,53.594462
9040,10,4.291505,53.732966
9050,11,4.297821,53.797071
9060,9,4.303943,53.933225
9070,9,4.309120,54.057706
9080,11,4.315209,54.044272
9090,11,4.322563,54.195997
9100,9,4.329729,54.345567
9110,8,4.334616,54.466692
9120,8,4.337714,54.490295
9130,9,4.342968,54.466065
9140,10,4.348543,54.446141
9150,9,4.353763,54.496490
9160,9,4.358214,54.537210
9170,10,4.364218,54.522997
9180,9,4.370658,54.588622
9190,9,4.375695,54.711071
9200,8,4.379043,54.738038
9210,5,4.380792,54.819416
9220,7,4.382978,54.757536
9230,7,4.385814,54.852387
9240,8,4.388239,54.793693
9250,10,4.392971,54.764130
9260,9,4.398315,54.890022
9270,7,4.401984,54.995141
9280,6,4.403427,54.998387
9290,7,4.405824,55.013585
9300,9,4.408713,54.961163
9310,11,4.415138,54.953115
9320,11,4.422203,55.100174
9330,13,4.430474,55.115103
