Tempo,Ocupacao,NumeroMedioRequisicoes,TempoMedioEspera,TamanhoFila
5350,0.814584,3.882479,9.172868,3
5360,0.814327,3.877134,5.609549,1
5370,0.813520,3.871233,4.505123,0
5380,0.813540,3.867839,3.241844,4
5390,0.813684,3.866558,4.609752,1
5400,0.813560,3.861635,7.008342,1
5410,0.813138,3.856573,4.050323,0
5420,0.813635,3.853710,4.683279,5
5430,0.813446,3.853708,3.745294,1
5440,0.813680,3.850042,4.092390,2
5450,0.813644,3.848700,4.393971,7
5460,0.813408,3.845027,4.090546,0
5470,0.812335,3.838592,4.205667,0
5480,0.812201,3.833653,4.868250,4
5490,0.811798,3.831576,2.857688,0
5500,0.811343,3.825821,4.408251,2
5510,0.811774,3.829142,5.547552,8
5520,0.811756,3.829428,4.640256,0
5530,0.811334,3.823826,4.519982,0
5540,0.811247,3.819659,2.735041,2
5550,0.811214,3.814860,4.854156,2
5560,0.811138,3.815669,6.808164,7
5570,0.812071,3.818937,2.431204,4
5580,0.811783,3.822014,4.599414,3
5590,0.812069,3.820423,9.007320,5
5600,0.811901,3.816428,4.297694,0
5610,0.810657,3.809829,4.542114,0
5620,0.810059,3.804056,4.085371,0
5630,0.811247,3.800045,4.815229,2
5640,0.810557,3.804269,5.145994,8
5650,0.810979,3.805218,4.995867,4
5660,0.811131,3.800942,5.185059,1
5670,0.811035,3.799316,5.295240,5
5680,0.811244,3.799588,4.570761,2
5690,0.811060,3.795489,2.448253,0
5700,0.810279,3.790368,4.724649,6
5710,0.810820,3.796005,4.834673,8
5720,0.811000,3.803581,4.676001,7
5730,0.811272,3.818343,5.194444,15
5740,0.811574,3.837310,4.594174,12
5750,0.812248,3.848244,4.582170,10
5760,0.812251,3.861219,4.714667,10
5770,0.812615,3.867830,1.734544,7
5780,0.812379,3.864627,3.692511,1
5790,0.812522,3.862351,0.441831,0
5800,0.812080,3.856563,6.094936,3
5810,0.811749,3.852594,4.474635,1
5820,0.811356,3.847321,3.822803,0
5830,0.811152,3.841821,7.910537,3
5840,0.811287,3.840416,5.339336,4
5850,0.810885,3.835580,5.087408,1
5860,0.810182,3.830473,4.078592,0
5870,0.810281,3.826128,2.113107,1
5880,0.809811,3.821558,3.558069,0
5890,0.809233,3.816351,4.214068,0
5900,0.809086,3.811669,3.404070,0
5910,0.808961,3.808797,1.052035,2
5920,0.808942,3.805232,3.605712,0
5930,0.809616,3.804186,1.568014,2
5940,0.809466,3.805289,4.920807,7
5950,0.809728,3.803182,4.606960,3
5960,0.809717,3.799244,2.883519,1
5970,0.809127,3.793993,3.724087,1
5980,0.809080,3.790901,6.920278,5
5990,0.809428,3.796231,4.067044,6
6000,0.809586,3.796992,5.673537,4
6010,0.809931,3.798673,4.302624,1
6020,0.809983,3.796839,7.992873,6
6030,0.810312,3.795939,3.027096,1
6040,0.810053,3.791700,5.065552,3
6050,0.809471,3.788226,4.676914,0
6060,0.808496,3.782343,4.316924,0
6070,0.808659,3.783562,5.900156,5
6080,0.808901,3.781067,5.326572,2
6090,0.809030,3.776360,5.220803,1
6100,0.808624,3.776294,4.410469,5
6110,0.808995,3.778073,4.751252,3
6120,0.808100,3.772799,4.434481,0
6130,0.808382,3.770216,4.794029,4
6140,0.808737,3.767778,3.597621,1
6150,0.808075,3.763697,2.532105,0
6160,0.807416,3.758799,4.265440,0
6170,0.806937,3.753585,4.002132,2
6180,0.806816,3.749200,5.287409,4
6190,0.806834,3.749254,6.682878,6
6200,0.807001,3.750019,4.970379,2
6210,0.807442,3.747317,7.243583,3
6220,0.807233,3.743666,3.393850,0
6230,0.806745,3.739410,5.511532,5
6240,0.807125,3.740915,3.697168,5
6250,0.806721,3.737927,3.595071,0
6260,0.806105,3.732764,3.597911,0
6270,0.806365,3.729260,5.473484,2
6280,0.806603,3.726190,5.532735,4
6290,0.806920,3.728565,5.117793,3
6300,0.807192,3.726501,4.679947,2
6310,0.807533,3.724099,4.364778,2
6320,0.807466,3.720315,5.562612,5
6330,0.807800,3.719775,3.984712,3
6340,0.807997,3.719452,4.391521,5
6350,0.808375,3.718047,5.031391,6
6360,0.808339,3.725594,4.801949,7
6370,0.808624,3.730425,5.166144,6
6380,0.808881,3.730120,4.989095,4
6390,0.809239,3.729951,4.164808,2
6400,0.808576,3.724550,4.774357,1
6410,0.808556,3.721846,3.624729,2
6420,0.808804,3.720287,5.614649,2
6430,0.808049,3.715803,6.842061,1
6440,0.808625,3.716115,2.597267,2
6450,0.808610,3.713639,5.869625,1
6460,0.808153,3.709931,4.402079,0
6470,0.807879,3.704938,6.024161,1
6480,0.808167,3.704601,8.182914,10
6490,0.808336,3.716680,4.840706,14
6500,0.808797,3.729539,1.050281,7
6510,0.808885,3.736060,6.711055,7
6520,0.809089,3.737663,4.346973,0
6530,0.808705,3.732807,7.063213,1
6540,0.808592,3.728597,4.141018,1
6550,0.808085,3.724414,2.338235,0
6560,0.807042,3.718949,3.980313,0
6570,0.806698,3.715156,4.234374,1
6580,0.805771,3.709962,3.483106,0
6590,0.805385,3.705199,2.882451,0
6600,0.804878,3.701733,3.942104,2
6610,0.804749,3.698449,5.873899,3
6620,0.804864,3.696991,3.831833,0
6630,0.804868,3.693154,5.952858,3
6640,0.805097,3.693485,5.958825,5
6650,0.805474,3.693191,6.255808,3
6660,0.805368,3.689722,3.906099,2
6670,0.804911,3.685521,3.572134,0
6680,0.804159,3.680071,10.201931,3
6690,0.803906,3.678051,3.594309,0
6700,0.804481,3.676236,5.222587,4
6710,0.804390,3.677308,4.597944,7
6720,0.804658,3.678998,5.307748,2
6730,0.804617,3.675893,3.989370,4
6740,0.804426,3.674655,4.410818,0
6750,0.804695,3.672753,4.759062,3
6760,0.804902,3.673063,4.749572,2
6770,0.804563,3.668897,3.566831,0
6780,0.804341,3.665614,3.703665,0
6790,0.804132,3.660664,5.563840,3
6800,0.804010,3.660936,2.128775,0
6810,0.803609,3.657554,3.490052,3
6820,0.803362,3.653284,7.291539,4
6830,0.803285,3.650841,4.473076,1
6840,0.802935,3.646623,8.235411,2
6850,0.802410,3.642445,4.185647,0
6860,0.802357,3.641824,4.281373,5
6870,0.802711,3.642757,4.087668,5
6880,0.802911,3.643329,6.111448,4
6890,0.802708,3.640674,4.886038,3
6900,0.802983,3.640966,2.759895,1
6910,0.803089,3.637598,4.215328,1
6920,0.803247,3.637649,4.855913,7
6930,0.803566,3.640465,1.017034,2
